"Tweet date","Display name","Username","Tweet URL","Tweet content","Retweets","Likes"
"2020/6/13 21:57","あるかなポリプ藩主💭","@grandguardryde","https://twitter.com/grandguardryde/status/1271788767519465472","無敵が代<br><br>作詞:ヤバい小池百合子<br>作曲:爆裂しとるバルーン<br>BGA:毒ピカソ<br><br>無敵が代は 無限代に極無限代に<br><br>爆裂しまくりの異常な高温太陽となりて<br><br>異常にクソみたいな雑魚惑星に宇宙のゴミにされるまで<br>https://shindanmaker.com/893413","1","1"
"2020/6/10 0:49","suomusume","@suomusume","https://twitter.com/suomusume/status/1270382443120390144","https://shindanmaker.com/893413","","1"
"2020/4/27 0:18","あるかなポリプ藩主💭","@grandguardryde","https://twitter.com/grandguardryde/status/1254429583689936896","無敵が代<br><br>作詞:ヤバい小池百合子<br>作曲:爆裂しとるバルーン<br>BGA:毒ピカソ<br><br>無敵が代は 無限代に極無限代に<br><br>爆裂しまくりの異常な高温太陽となりて<br><br>異常にクソみたいな雑魚惑星に宇宙のゴミにされるまで<br>https://shindanmaker.com/893413","","1"
"2020/4/18 3:16","Ten.Ka","@10ka_cuvieUC","https://twitter.com/10ka_cuvieUC/status/1251212839064268800","クソが代<br><br>作詞:バイオレントSkrillex<br>作曲:小池百合子<br>その他:米津玄師<br><br>クソが代は 一億代にクソ一億代に<br><br>クソザコのクソのゴミ惑星となりて<br><br>異常なほどの超伝導さざれ石に跡形も残らず消し飛ばすまで<br>https://shindanmaker.com/893413","",""
"2020/4/16 20:01","藤田自己複製鐵鋼+","@hand_accident","https://twitter.com/hand_accident/status/1250741071803375616","https://twitter.com/search?q=%E2%80%9D%E6%AF%92%E3%83%94%E3%82%AB%E3%82%BD%E2%80%9D%E3%80%80-%22https%3A%2F%2Fshindanmaker.com%2F893413%22&src=typed_query&f=live …","",""
"2020/4/4 20:00","あるかなポリプ藩主💭","@grandguardryde","https://twitter.com/grandguardryde/status/1246392314601201664","平成が代<br><br>作詞:吉幾三<br>作曲:滝廉太郎<br>絵:フェルメール<br><br>平成が代は 現代にエクストリーム現代に<br><br>ゴミ共の集まった雑魚惑星となりて<br><br>カスみたいなクソ地面に化石にされるまで<br>https://shindanmaker.com/893413","","1"
"2020/4/4 19:59","さとう","@Raven_51123","https://twitter.com/Raven_51123/status/1246391927458545665","クソが代<br><br>作詞:バルーン<br>作曲:滝廉太郎<br>BGA:アボガド6<br><br>クソが代は 一億代にギガ一億代に<br><br>バカデカい汚れた惑星となりて<br><br>マジカスすぎる究極クソ惑星に宇宙の果てまで飛ばされるまで<br>https://shindanmaker.com/893413","",""
"2020/3/17 21:29","たむ","@NoHope_09","https://twitter.com/NoHope_09/status/1239891636399648775","バカが代<br><br>作詞:米津玄師<br>作曲:本田圭佑<br>BGA:いらすとや<br><br>バカが代は 現代にガチ現代に<br><br>ウンコみたいな超究極球体となりて<br><br>ウンコみたいな雑魚惑星にグーパンされるまで<br>https://shindanmaker.com/893413","",""
"2020/2/23 14:31","さとう","@Raven_51123","https://twitter.com/Raven_51123/status/1231451415794438144","クソが代<br><br>作詞:バルーン<br>作曲:滝廉太郎<br>BGA:アボガド6<br><br>クソが代は 一億代にギガ一億代に<br><br>バカデカい汚れた惑星となりて<br><br>マジカスすぎる究極クソ惑星に宇宙の果てまで飛ばされるまで<br>https://shindanmaker.com/893413","",""
"2019/12/21 2:58","さとう","@Raven_51123","https://twitter.com/Raven_51123/status/1208084185941831680","クソが代<br><br>作詞:バルーン<br>作曲:滝廉太郎<br>BGA:アボガド6<br><br>クソが代は 一億代にギガ一億代に<br><br>バカデカい汚れた惑星となりて<br><br>マジカスすぎる究極クソ惑星に宇宙の果てまで飛ばされるまで<br>https://shindanmaker.com/893413","",""
